Link,https://www.imdb.com/trailers/?ref_=nv_mv_tr

Title and Year,Description,Director,Actors,For Adults?,Poster,Trailer
The Sinner (2017-),Anthology series that examines how and why ordinary people commit brutal crimes.,Not Found,["Bill Pullman" "Dohn Norwood" "Jessica Biel" "Christopher Abbott"],false,https://m.media-amazon.com/images/M/MV5BNTU5NDQ3NDk1Nl5BMl5BanBnXkFtZTgwOTMwMjg5NTM@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi47168281/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Child's Play (2019),A mother gives her 13-year-old son a toy doll for his birthday  unaware of its more sinister nature  he also kills people who disobeyed Andy.,Lars Klevberg,["Aubrey Plaza" "Mark Hamill" "Gabriel Bateman" "Tim Matheson"],false,https://m.media-amazon.com/images/M/MV5BNTNlNjIxNjktOWUyMS00YWY5LWEwZGItMjZmODJlZWNiZGM2XkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1036827673/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
El silencio de la ciudad blanca (2019),The bodies of a boy and a twenty-year-old girl appear nude in the crypt of the Old Cathedral. Unai Lopez de ayala  an expert inspector in criminal profiles  must hunt down the ritual murderer who has been terrorizing the city for two decades. The unstoppable succession of crimes and a police investigation contaminated by social networks will take Unai to the limit  confronting him with ruthless assassin who could be closer than he thought.,Daniel Calparsoro,["Itziar Ituño" "Belén Rueda" "Aura Garrido" "Javier Rey"],false,https://m.media-amazon.com/images/M/MV5BYjQwZTcyNmUtYTU5OS00Nzc0LTkyM2UtMjhlY2UyNWJlZDNmXkEyXkFqcGdeQXVyMTM2Mzg4MA@@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi2427109145/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
La notte non fa più paura (2016),,Marco Cassini,["Stefano Muroni" "Walter Cordopatri" "Giorgio Colangeli" "Ivan Alovisio"],false,https://m.media-amazon.com/images/M/MV5BY2EwNTU1NDUtODYwNi00OTNkLTgzNDktNzFkYjM4NDQxMzJjXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1923792665/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Capture (2019-),An innocent soldier is falsely accused of a crime but the CCTV evidence isn't as it seems.,Not Found,["Laura Haddock" "Hiten Patel" "Holliday Grainger" "Callum Turner"],false,https://m.media-amazon.com/images/M/MV5BOTA3ZjRjZmEtYmM1Ni00NGNhLWIxNWMtM2RmNTdhNDdlMDA3XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UY231_CR12,https://www.imdb.com/video/imdb/vi1219149593/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Good Doctor (2017-),Shaun Murphy  a young surgeon with autism and Savant syndrome  is recruited into the surgical unit of a prestigious hospital.,Not Found,["Freddie Highmore" "Nicholas Gonzalez" "Antonia Thomas" "Hill Harper"],false,https://m.media-amazon.com/images/M/MV5BMTU3NDc3ODE2M15BMl5BanBnXkFtZTgwNTk1OTYzNjM@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi3400122137/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Why Women Kill (2019-),Three women living in three different decades: a housewife in the '60s  a socialite in the '80s and a lawyer in 2019  deal with infidelity in their marriages.,Not Found,["Lucy Liu" "Ginnifer Goodwin" "Kirby Howell-Baptiste" "Alexandra Daddario"],false,https://m.media-amazon.com/images/M/MV5BM2JiYzQ0OTAtZjZhMy00MjIxLTgzMmItMDAxN2JhNzBmMjZmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi682213145/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Modern Love (2019-),TV series based on the New York Times' column that explores relationships  love and the human connection.,Not Found,["Anne Hathaway" "Tina Fey" "Andy Garcia" "Dev Patel"],false,https://m.media-amazon.com/images/M/MV5BMGUxNGNiNzktODY2Yy00NGYyLTk0NmQtOTc5YzJlOTdhNzNiXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi816430873/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Dublin Murders (2019-),Crime series based on the novels by Tana French.,Not Found,["Tom Vaughan-Lawlor" "Killian Scott" "Moe Dunford" "Sarah Greene"],false,https://m.media-amazon.com/images/M/MV5BZDI0NGZkMGUtZWRjMy00ZDI0LWJhMmQtYjU3NDJhM2I3NGE2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi2124988185/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Baby (2018-),Story of Roman teenagers on their journey of self-discovery.,Not Found,["Benedetta Porcaroli" "Alice Pagani" "Riccardo Mandolini" "Chabeli Sastre"],false,https://m.media-amazon.com/images/M/MV5BOWM4MjhkOGUtOTczZS00ODI5LThmYzMtMjJmOTMyMzgwZmNmXkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1353236249/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Ghazi Attack (2017),A Pakistani submarine  Ghazi plans to secretly attack Vizag port. For doing so  it has to get past Indian submarine S21.,Sankalp Reddy,["Rana Daggubati" "Kay Kay Menon" "Atul Kulkarni" "Om Puri"],false,https://m.media-amazon.com/images/M/MV5BZWJjM2U2ODUtNDZkZi00NjdhLWE0MzMtYzIyNzE0ZTcyNmJkL2ltYWdlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi782810905/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Total Dhamaal (2019),A group of people learn about a hidden treasure and then they race to find it and claim it.,Indra Kumar,["Ajay Devgn" "Madhuri Dixit" "Anil Kapoor" "Riteish Deshmukh"],false,https://m.media-amazon.com/images/M/MV5BMTdiN2Q2MGUtYWRjMi00M2Y2LWEzOTYtOTA3NjNiMGMzNmFhXkEyXkFqcGdeQXVyNjE1OTQ0NjA@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi816365337/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Sky Is Pink (2019),The Sky Is Pink is the incredible love story of a couple spanning 25 years  told through the lens of their teenage daughter. She is sassy  sardonic  spunky and also...dead. A fact she nonchalantly mentions at the very outset. &quot Get over it. It's quite cool actually. You'll see when you get here (which you do know you will right?!)&quot  Unexpectedly humorous  warm and heart wrenching all at once as the magic of life and beauty of death manifest in one family's unusual  courageous journey in this 100% true story.,Shonali Bose,["Zaira Wasim" "Priyanka Chopra" "Farhan Akhtar" "Rohit Saraf"],false,https://m.media-amazon.com/images/M/MV5BNWQ5OTJjYTktMGNmYi00ZGMwLTlkYTgtODY3YWIxZDgyMzkwXkEyXkFqcGdeQXVyOTg4MzcyNzQ@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi413712153/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Downton Abbey (2019),The continuing story of the Crawley family  wealthy owners of a large estate in the English countryside in the early 20th century.,Michael Engler,["Michelle Dockery" "Matthew Goode" "Tuppence Middleton" "Maggie Smith"],false,https://m.media-amazon.com/images/M/MV5BMmQxNGRkMjYtZTAyMy00MDUyLThiNmYtODI1NTkyNmI0ZTNlXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi2561130265/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Doctor Sleep (2019),Years following the events of &quot The Shining &quot  a now-adult Dan Torrance meets a young girl with similar powers as his and tries to protect her from a cult known as The True Knot who prey on children with powers to remain immortal.,Mike Flanagan,["Rebecca Ferguson" "Ewan McGregor" "Jacob Tremblay" "Emily Alyn Lind"],false,https://m.media-amazon.com/images/M/MV5BMzQ5MjA0ZTAtYzhkYy00NTlmLWE4YTgtMTA2ZTE5NjRjNDA2XkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi212254489/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Ema (2019),A couple deals with the aftermath of an adoption that goes awry as their household falls apart.,Pablo Larraín,["Santiago Cabrera" "Mariana Di Girolamo" "Josefina Fiebelkorn" "Giannina Fruttero"],false,https://m.media-amazon.com/images/M/MV5BM2EzNTgzMWItMmNmYi00Njc0LWI2ZGMtZWJhNmVjN2YzODRmXkEyXkFqcGdeQXVyMTIxNjEzNDM@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1319485209/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Brave ragazze (2019),,Michela Andreozzi,["Stefania Sandrelli" "Luca Argentero" "Ambra Angiolini" "Ilenia Pastorelli"],false,https://m.media-amazon.com/images/M/MV5BN2NiMDIxYWMtNDU0Ni00OWJhLWI3MDMtYWVkYTM0Yzk4YjNhXkEyXkFqcGdeQXVyMzQ4MDQ4ODc@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi916832025/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Catherine the Great (2019-),Story of the greatest tsarina  Catherine the Great and the Hermitage.,Not Found,["Georgina Beedle" "Thomas Doherty" "Andrew Rothney" "Jason Clarke"],false,https://m.media-amazon.com/images/M/MV5BNWI1ZjJjMTAtYzRhMy00MzEwLThmY2YtYWRkZGRkZGUwNTFiXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1520746265/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Todas las pecas del mundo (2019),,Yibran Asuad,["Luis de La Rosa" "Abraham Kleinfinger" "Loreto Peralta"],false,https://m.media-amazon.com/images/M/MV5BZDE2OGM0MTQtODEwZS00N2Y3LWExODYtNzRiYzYyYWY2ZTUwXkEyXkFqcGdeQXVyNjIzMDM2MjA@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi950320921/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Il traditore (2019),The real life of Tommaso Buscetta the so called &quot boss of the two worlds&quot   first mafia informant in Sicily 1980's.,Marco Bellocchio,["Pierfrancesco Favino" "Luigi Lo Cascio" "Fausto Russo Alesi" "Maria Fernanda Cândido"],false,https://m.media-amazon.com/images/M/MV5BMzgwMGQwZDAtZTNmOC00NDQ3LTlmZTUtYWQwMWM2ZWQyOTBhXkEyXkFqcGdeQXVyOTgxNDIzMTY@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi547602201/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Mattino Cinque (2008-),,Not Found,[],false,https://m.media-amazon.com/images/M/MV5BMjljMTZhYjMtYWQ3Zi00N2U3LTg4OWEtZjg1ZTI1MDRhYmZjXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_UY231_CR8,https://www.imdb.com/video/imdb/vi1319288601/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Tuttapposto (2019),,Gianni Costantino,["Roberto Lipari" "Luca Zingaretti" "Monica Guerritore" "Gino Astorina"],false,https://m.media-amazon.com/images/M/MV5BZjhkYzYyMDctOGJhMS00YmUwLTg0ZWYtYzBhYzBmNjdhNWNiXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1386397465/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Nada a Perder 2 (2019),Part 2 of Edir Macedo's self-financed biopic.,Alexandre Avancin,["Petrônio Gontijo" "Day Mesquita" "Beth Goulart" "Dalton Vigh"],false,https://m.media-amazon.com/images/M/MV5BNzhlNzMxZTYtNWFkYi00NWE1LWFkMWYtNWExMjRkYjgwMDM0XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1554169625/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Il giorno più bello del mondo (2019),,Alessandro Siani,["Stefania Spampinato" "Leigh Gill" "Alessandro Siani" "Giovanni Esposito"],false,https://m.media-amazon.com/images/M/MV5BODY4Y2U1ZjItMzJjNC00N2MwLWI0MGQtNGMwMzdjYWM0YTA1XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi648199961/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Criminal (2019-),A cat-and-mouse drama  which focuses on the intense mental conflict between detectives and suspects. Comprising 12 stories set in four different countries  each takes place within the confines of a police interview suite.,Not Found,["Inma Cuesta" "Eduard Fernández" "Carmen Machi" "Emma Suárez"],false,https://m.media-amazon.com/images/M/MV5BMTM3NzQwMDUtMzIyMi00NDFjLThkM2UtNDY2NDAyYjhiNmQyXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UY231_CR9,https://www.imdb.com/video/imdb/vi614645529/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Good Place (2016-),Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.,Not Found,["Kristen Bell" "Ted Danson" "William Jackson Harper" "Jameela Jamil"],false,https://m.media-amazon.com/images/M/MV5BYmMxNjM0NmItNGU1Mi00OGMwLTkzMzctZmE3YjU1ZDE4NmFjXkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi3148002841/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Gretel & Hansel (2020),A long time ago in a distant fairy tale countryside  a young girl leads her little brother into a dark wood in desperate search of food and work  only to stumble upon a nexus of terrifying evil.,Oz Perkins,["Sophia Lillis" "Alice Krige" "Jessica De Gouw" "Charles Babalola"],false,https://m.media-amazon.com/images/M/MV5BNmEwNWZlODktYjNmYS00ODExLTkzN2UtNGY1NWQ2ZDQ2MzVkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi178372377/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
La prueba (2019),,Joaquín Villalonga,["Esperanza Guardado" "Juanma Martinez"],false,https://m.media-amazon.com/images/M/MV5BYmMxZTI1NzgtZDA2NS00YTJhLWJiNmItNDgzNDNiMmQ3ZWExXkEyXkFqcGdeQXVyOTA3NzY5NTE@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1387970329/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Deuce (2017-),A look at life in New York City during the 1970s and '80s when porn and prostitution were rampant in Manhattan.,Not Found,["David Krumholtz" "Daniel Sauli" "Mustafa Shakir" "James Franco"],false,https://m.media-amazon.com/images/M/MV5BOWEyM2U1MjctZTUzYy00MTMyLTkyNTgtNjQxNTc2ODk2OTJkXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi985251609/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Joker (2019),An original standalone origin story of the iconic villain not seen before on the big screen  it's a gritty character study of Arthur Fleck  a man disregarded by society  and a broader cautionary tale.,Todd Phillips,["Joaquin Phoenix" "Zazie Beetz" "Robert De Niro" "Jolie Chan"],false,https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1723318041/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Aeronauts (2019),Pilot Amelia Wren (Felicity Jones) and scientist James Glaisher (Eddie Redmayne) find themselves in an epic fight for survival while attempting to make discoveries in a hot air balloon.,Tom Harper,["Felicity Jones" "Eddie Redmayne" "Himesh Patel" "Anne Reid"],false,https://m.media-amazon.com/images/M/MV5BMDM3MjZiNWItOTAxNy00ODJjLTlmNWEtMTFiNjU5YTlmZDcwXkEyXkFqcGdeQXVyODE1MjMyNzI@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi3870801689/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Marianne (2019-),Emma  a famous and successful French horror writer  is forced to return to her hometown after the women who haunted her dreams fifteen years ago begin to re-appear. The work she writes is apparently a work of fiction  but how much is fact?,Not Found,["Victoire Du Bois" "Lucie Boujenah" "Tiphaine Daviot" "Ralph Amoussou"],false,https://m.media-amazon.com/images/M/MV5BODQ4NGIwZWYtMWNhOC00MzFjLTk5ZDYtOGM1MzM3NjVlZGUxXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi2293612313/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Ad Astra (2019),Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now  30 years later  threatens the universe.,James Gray,["Brad Pitt" "Liv Tyler" "Ruth Negga" "Tommy Lee Jones"],false,https://m.media-amazon.com/images/M/MV5BZTllZTdlOGEtZTBmMi00MGQ5LWFjN2MtOGEyZTliNGY1MzFiXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi3836788505/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Along Came the Devil 2 (2019),After receiving an unsettling voicemail  Jordan (Wiggins) returns home  looking for answers  only to find her estranged father and even more questions. A demonic force has attached itself to the town and no one is safe. The only one who seems to know anything is the small town's Reverend.,Jason DeVan,["Bruce Davison" "Laura Wiggins" "Mark Ashworth" "Cassius DeVan"],false,https://m.media-amazon.com/images/M/MV5BNzUwYzBlYmEtN2M4ZC00MWIzLWJiM2UtMmUzM2FlNjY4NTFjXkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi648986393/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Watchmen (2019-),Set in an alternate history where masked vigilantes are treated as outlaws  Watchmen embraces the nostalgia of the original groundbreaking graphic novel of the same name  while attempting to break new ground of its own.,Not Found,["Yahya Abdul-Mateen II" "Christie Amery" "Hong Chau" "Adelaide Clemens"],false,https://m.media-amazon.com/images/M/MV5BZTQ2ODJlOTgtYjRkYy00YjhjLWEzYjAtYjNkNTZjN2FhMjBmXkEyXkFqcGdeQXVyNjYwODc2NzY@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi45006617/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Immortal (2019),Plot kept under wraps. Described as an origin story about the cult character Ciro Di Marzio.,Marco D'Amore,["Marco D'Amore" "Darta Danevica"],false,https://m.media-amazon.com/images/M/MV5BNTljMzNiZTMtNDFlNS00ZjNhLTkyNDUtMGZhYjZhYjU4NDM5XkEyXkFqcGdeQXVyNjkzMzQ4NDQ@._V1_UY231_CR1,https://www.imdb.com/video/imdb/vi3064839961/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
O que arde (2019),Amador is a notorious Galician arsonist who has been accused of causing a new fire. Lois  a young firefighter  explores the depths of a forest on fire. Their destinies are linked by the power of a mysterious fire.,Oliver Laxe,["Amador Arias" "Benedicta Sánchez" "Ivan Yañez" "Inazio Abrao"],false,https://m.media-amazon.com/images/M/MV5BZGRmZGIzYTMtODFlYi00NGJkLTg4YTgtNDNkZDJlNWM4ZDk5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi3098394393/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Queen & Slim (2019),A couple's first date takes an unexpected turn when a police officer pulls them over.,Melina Matsoukas,["Chloë Sevigny" "Indya Moore" "Daniel Kaluuya" "Jodie Turner-Smith"],false,https://m.media-amazon.com/images/M/MV5BMjIzYmJkZmEtM2RkZS00MDA4LTg4NjAtOGRkN2EwZmFmMWE4XkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi447594265/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Midway (2019),The story of the Battle of Midway  told by the leaders and the sailors who fought it.,Roland Emmerich,["Luke Evans" "Patrick Wilson" "Mandy Moore" "Alexander Ludwig"],false,https://m.media-amazon.com/images/M/MV5BNTVhODZmYjktZmFhMS00MzY5LWExNGUtYWJkZjM2MmFkNzRiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi3198992153/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Like a Boss (2020),Two female friends with very different ideals decide to start a beauty company together. One is more practical  while the other wants to earn her fortune and live a lavish lifestyle.,Miguel Arteta,["Rose Byrne" "Salma Hayek" "Tiffany Haddish" "Ari Graynor"],false,https://m.media-amazon.com/images/M/MV5BZDNmYjNlOTQtZmY5Zi00NjY3LThmMGItY2E1YjJhOGFiZTc0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1017954073/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Last Christmas (2019),Kate is a young woman subscribed to bad decisions. Her last date with disaster? That of having accepted to work as Santa's elf for a department store. However  she meets Tom there. Her life takes a new turn. For Kate  it seems too good to be true.,Paul Feig,["Emilia Clarke" "Emma Thompson" "Henry Golding" "Michelle Yeoh"],false,https://m.media-amazon.com/images/M/MV5BNTQ4ZmY0NjgtYzVhNy00NzhiLTk3YTYtNzM1MTdjM2VhZDA3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi11321113/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Riverdale (2017-),While navigating the troubled waters of romance  school and family  Archie and his gang become entangled in dark Riverdale mysteries.,Not Found,["K.J. Apa" "Lili Reinhart" "Camila Mendes" "Cole Sprouse"],false,https://m.media-amazon.com/images/M/MV5BOGQxZDljZTktMzNlMC00NDFjLWI0ZmMtMmU0OTFkMDU0ZjNjXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi3987520025/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
El robo del siglo (2020),In 2006  a group of thieves performed what is considered one of the most famous and smart bank heists in the history of Argentina when they rob the Banco R&iacute o branch in Acassuso.,Ariel Winograd,["Guillermo Francella" "Diego Peretti" "Luis Luque" "Pablo Rago"],false,https://m.media-amazon.com/images/M/MV5BMDQxNzk2ZGEtNTc3Zi00NzczLTk2ZjgtZjhkYmI2ZDM1ZjhhXkEyXkFqcGdeQXVyODE0NzUzMzk@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi3836460825/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Gemini Man (2019),An over-the-hill hitman faces off against a younger clone of himself.,Ang Lee,["Will Smith" "Mary Elizabeth Winstead" "Clive Owen" "Benedict Wong"],false,https://m.media-amazon.com/images/M/MV5BZDNjMzEwY2EtYjMwZS00OWQ0LWI4YmUtZThjZWE5NDcyYWZmXkEyXkFqcGdeQXVyODM2Njg2OTg@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1770568729/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Modern Family (2009-),Three different but related families face trials and tribulations in their own uniquely comedic ways.,Not Found,["Ed O'Neill" "Sofía Vergara" "Julie Bowen" "Ty Burrell"],false,https://m.media-amazon.com/images/M/MV5BMTU2NTU3OTE5NF5BMl5BanBnXkFtZTgwMDAzMjE1NjM@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi3967726361/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Secret Garden (2020),A girl discovers a magical garden hidden at her uncle's house.,Marc Munden,["Colin Firth" "Maeve Dermody" "Julie Walters" "Dixie Egerickx"],false,https://m.media-amazon.com/images/M/MV5BZjRmZjVhYjItYjZkNy00YWYzLWFmYmEtMWU4ZjZjNWEwM2NhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY231_CR9,https://www.imdb.com/video/imdb/vi4136877849/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Tenki no ko (2019),A high-school boy who has run away to Tokyo be friends a girl who appears to be able to manipulate the weather.,Makoto Shinkai,["Kotaro Daigo" "Nana Mori" "Kentaro Araki" "Chieko Baishô"],false,https://m.media-amazon.com/images/M/MV5BYjEzMjJjNzctNmFmMy00MTE4LTkwZTItYjY3Y2VjZmYxNmE3XkEyXkFqcGdeQXVyOTI4MzgyNTk@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1116978969/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Ich war noch niemals in New York (2019),,Philipp Stölzl,["Heike Makatsch" "Moritz Bleibtreu" "Katharina Thalbach" "Uwe Ochsenknecht"],false,https://m.media-amazon.com/images/M/MV5BZDExNzU3MWMtODQ0My00YzM4LTliOWEtYWM4NGZiMTkyNmI5XkEyXkFqcGdeQXVyMDU5MDEyMA@@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi2257764121/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
In the Shadow of the Moon (2019),A Philadelphia police officer struggles with a lifelong obsession to track down a mysterious serial killer whose crimes defy explanation.,Jim Mickle,["Boyd Holbrook" "Michael C. Hall" "Bokeem Woodbine" "Cleopatra Coleman"],false,https://m.media-amazon.com/images/M/MV5BN2I1MGQ2ZjMtMjc1My00YzU1LThjNzktNzJlMWRkMTc0NjZhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi2459090713/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Shameless (2011-),A scrappy  fiercely loyal Chicago family makes no apologies.,Not Found,["Emmy Rossum" "William H. Macy" "Ethan Cutkosky" "Jeremy Allen White"],false,https://m.media-amazon.com/images/M/MV5BMjM5MzAzNTQyOV5BMl5BanBnXkFtZTgwNjY0MjcyNjM@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi2660286233/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Supernatural (2005-),Two brothers follow their father's footsteps as hunters  fighting evil supernatural beings of many kinds  including monsters  demons  and gods that roam the earth.,Not Found,["Jared Padalecki" "Jensen Ackles" "Jim Beaver" "Misha Collins"],false,https://m.media-amazon.com/images/M/MV5BMTJhM2VhZDItMTk4OS00MTRjLTlmMDQtNzEyYmM0NDA0YjhjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1653653273/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
